State,Unemployed_2020
ALABAMA,-3350
ALASKA,-2810
ARIZONA,-15235
ARKANSAS,-2441
CALIFORNIA,-90977
COLORADO,-13192
CONNECTICUT,-8799
DELAWARE,-1286
D.C.,-5608
FLORIDA,-62930
GEORGIA,-12333
HAWAII,-22231
IDAHO,-1128
ILLINOIS,-21438
INDIANA,-6683
IOWA,-5034
KANSAS,-3035
KENTUCKY,-4577
LOUISIANA,-8833
MAINE,-3614
MARYLAND,-9209
MASSACHUSETTS,-16718
MICHIGAN,-20230
MINNESOTA,-12469
MISSISSIPPI,-5320
MISSOURI,-9604
MONTANA,-2219
NEBRASKA,-1907
NEVADA,-43439
NEW HAMPSHIRE,-2532
NEW JERSEY,-15851
NEW MEXICO,-4892
NEW YORK,-51382
NORTH CAROLINA,-17011
NORTH DAKOTA,-1833
OHIO,-14869
OKLAHOMA,-6123
OREGON,-9410
PENNSYLVANIA,-21666
RHODE ISLAND,-1778
SOUTH CAROLINA,-8506
SOUTH DAKOTA,-1708
TENNESSEE,-10808
TEXAS,-29586
UTAH,-4105
VERMONT,-4870
VIRGINIA,-17267
WASHINGTON,-14111
WEST VIRGINIA,-3703
WISCONSIN,-11176
WYOMING,-2476